estacao;data;precipitacao;temp_media;temp_max;temp_min;pressao_barometrica;umidade_rel;evapotranspiracao;rad_solar;uv;vel_med_vento;vel_max_vento;direcao_do_vento;ponto_de_orvalho;temp_do_solo_1;temp_do_solo_2;temp_do_solo_3;temp_do_solo_4;umidade_do_solo_1;umidade_do_solo_2;umidade_do_solo_3;umidade_do_solo_4
SANTACATARINAGRANJA;2025-01-01;0.0;25.98;33.5;19.61;1010.09;71.45;5.08;248.32;;4.35;28.7;E;;;;;;;;;
SANTACATARINAGRANJA;2025-01-02;0.0;28.04;35.61;21.0;1007.81;59.84;7.87;307.66;;9.45;41.8;E;;;;;;;;;
SANTACATARINAGRANJA;2025-01-03;0.0;23.29;30.0;15.89;1009.6;57.17;7.09;327.74;;8.2;33.7;E;;;;;;;;;
SANTACATARINAGRANJA;2025-01-04;0.0;22.01;29.39;13.89;1012.13;59.55;6.68;331.5;;5.25;26.3;E;;;;;;;;;
SANTACATARINAGRANJA;2025-01-05;0.0;21.4;28.33;14.83;1013.56;64.1;5.87;291.75;;9.44;28.2;NE;;;;;;;;;
SANTACATARINAGRANJA;2025-01-06;0.0;22.21;28.77;15.17;1013.83;64.75;6.81;321.1;;11.75;30.9;NNW;;;;;;;;;
SANTACATARINAGRANJA;2025-01-07;0.0;22.07;29.16;14.55;1014.27;64.27;7.11;318.51;;10.42;28.9;NNW;;;;;;;;;
SANTACATARINAGRANJA;2025-01-08;0.0;22.87;30.0;15.33;1013.9;66.12;7.52;325.25;;14.83;34.7;NNW;;;;;;;;;
SANTACATARINAGRANJA;2025-01-09;0.0;24.09;31.94;16.0;1011.88;66.74;7.26;299.41;;14.9;35.8;NNW;;;;;;;;;
SANTACATARINAGRANJA;2025-01-10;0.0;24.56;32.22;16.89;1011.74;65.41;7.52;324.86;;14.42;40.2;NNW;;;;;;;;;
SANTACATARINAGRANJA;2025-01-11;0.0;23.2;30.05;17.22;1014.08;65.92;7.62;297.28;;18.35;44.5;NNW;;;;;;;;;
SANTACATARINAGRANJA;2025-01-12;0.0;22.65;30.05;14.89;1015.34;63.7;7.65;323.86;;15.69;34.8;NNW;;;;;;;;;
SANTACATARINAGRANJA;2025-01-13;0.0;23.41;31.55;14.22;1012.52;63.57;7.9;330.88;;14.9;37.0;N;;;;;;;;;
SANTACATARINAGRANJA;2025-01-14;0.0;25.0;32.55;16.05;1010.22;62.59;7.32;322.88;;11.29;39.0;N;;;;;;;;;
SANTACATARINAGRANJA;2025-01-15;0.0;25.77;34.61;19.0;1010.7;70.7;5.84;276.77;;5.15;30.6;E;;;;;;;;;
SANTACATARINAGRANJA;2025-01-16;1.0;24.79;34.94;20.55;1012.23;78.07;4.04;220.49;;5.66;54.8;N;;;;;;;;;
SANTACATARINAGRANJA;2025-01-17;0.6;25.55;32.5;20.05;1011.22;78.06;5.08;244.2;;5.58;33.1;N;;;;;;;;;
SANTACATARINAGRANJA;2025-01-18;0.0;26.24;33.16;20.11;1011.86;74.09;6.45;298.27;;8.92;35.4;N;;;;;;;;;
SANTACATARINAGRANJA;2025-01-19;7.6;24.76;32.94;21.11;1010.43;81.27;4.14;203.33;;8.41;69.3;N;;;;;;;;;
SANTACATARINAGRANJA;2025-01-20;0.0;23.34;28.27;19.5;1007.62;81.22;4.67;239.35;;6.24;28.2;N;;;;;;;;;
SANTACATARINAGRANJA;2025-01-21;0.0;23.9;31.11;19.0;1010.93;77.07;4.9;261.91;;4.19;19.6;N;;;;;;;;;
SANTACATARINAGRANJA;2025-01-22;0.0;25.91;33.66;18.89;1014.48;70.06;5.97;293.75;;2.35;19.3;N;;;;;;;;;
SANTACATARINAGRANJA;2025-01-23;0.0;28.58;37.27;21.05;1013.98;64.06;6.96;313.54;;6.44;38.6;N;;;;;;;;;
